Category,Cat. 2,Product,Size,Sourcing Method,Price (USD),Shipping (USD),GST (USD),Qty,Total (USD),Link,% of Grant,Grant Money Left,% of Grant Money Left
,,Mean Well LRS-350,24V,AliExpress,$30.63,$2.16,$3.28,1,$36.07,https://www.aliexpress.com/item/1005005439330497.html,10.31%,$25.04,7.15%
,,TMC2209 (6pcs/lot),-,AliExpress,$21.40,$0.00,$2.14,1,$23.54,https://www.aliexpress.com/item/33028050145.html,6.73%,$1.50,0.43%
,,Mellow FLY D7,-,AliExpress,$22.84,$0.00,$2.28,1,$25.12,https://www.aliexpress.com/item/1005006422323624.html ,7.18%,-$23.63,-6.75%
,,USB C Mount,50cm,AliExpress,$2.80,$0.00,$0.28,1,$3.08,https://www.aliexpress.com/item/1005007625403004.html ,0.88%,-$26.71,-7.63%
,,Electronics Fan,?,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,-$26.71,-7.63%
,,,,,,,,,,,0.00%,-$26.71,-7.63%
,Fasteners,,,,,,,,,,0.00%,-$26.71,-7.63%
,,Fasteners,M2.5x8mm,AliExpress,$1.76,$0.00,$0.18,1,$1.94,https://www.aliexpress.com/item/1005005070119421.html,0.55%,-$28.64,-8.18%
,,,M3/M4/M5,Self,$0.00,$0.00,$0.00,?,$0.00,,0.00%,-$28.64,-8.18%
,,Heated Inserts,M3L3OD4.5,AliExpress,$3.29,$0.00,$0.33,1,$3.62,https://www.aliexpress.com/item/1005006838108683.html,1.03%,-$32.26,-9.22%
,,,M4L4OD6,AliExpress,$4.87,$0.00,$0.49,1,$5.36,,1.53%,-$37.62,-10.75%
,,,,,,,,,,,0.00%,-$37.62,-10.75%
Other,,,,,,,,,,,0.00%,-$37.62,-10.75%
,Tools,,,,,,,,,,0.00%,-$37.62,-10.75%
,,Tap,M5x0.8mm,AliExpress,$2.45,$0.00,$0.25,1,$2.70,https://www.aliexpress.com/item/33056326494.html ,0.77%,-$40.32,-11.52%
,,,,,,,,,,,0.00%,-$40.32,-11.52%
,Filament,,,,,,,,,,0.00%,-$40.32,-11.52%
,,PETG (I know I should use ASA but I don’t have a good space to print it),Black,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,-$40.32,-11.52%
,,PLA+ (external use only),Mint Green,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,-$40.32,-11.52%
,,Bowden Tube,1.75mm 1M,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,-$40.32,-11.52%
,,,,,,,,,,,,,
Total,,,,,,,,,$390.32,,,,
Grant,,,,,,,,,$350.00,,,,
Out-of-Pocket,,,,,,,,,$40.32,,,,
